"","fornitore","numero_dosi","soglia","date"
"166","Moderna",1335,1,2021-06-15
"167","Moderna",1229,1,2021-06-16
"168","Moderna",1391,1,2021-06-17
"169","Moderna",824,0,2021-06-18
"170","Moderna",286,0,2021-06-19
"171","Moderna",470508,1,2021-06-20
"172","Moderna",817,0,2021-06-21
"173","Moderna",837,0,2021-06-22
"174","Moderna",719,0,2021-06-23
"175","Moderna",565,0,2021-06-24
"176","Moderna",30375,1,2021-06-25
"177","Moderna",367413,1,2021-06-26
"178","Moderna",32845,1,2021-06-27
"179","Moderna",472,0,2021-06-28
"180","Moderna",510,0,2021-06-29
"181","Moderna",472,0,2021-06-30
"182","Moderna",35275,1,2021-07-01
"183","Moderna",420494,1,2021-07-02
"184","Moderna",35439,1,2021-07-03
"185","Moderna",17,0,2021-07-04
"186","Moderna",1248,1,2021-07-05
"187","Moderna",901,0,2021-07-06
"188","Moderna",621,0,2021-07-07
"189","Moderna",730,0,2021-07-08
"190","Moderna",354,0,2021-07-09
"191","Moderna",535451,1,2021-07-10
"192","Moderna",2,0,2021-07-11
"193","Moderna",517,0,2021-07-12
"194","Moderna",275,0,2021-07-13
"195","Moderna",289,0,2021-07-14
"196","Moderna",348,0,2021-07-15
"197","Moderna",299,0,2021-07-16
"198","Moderna",2,0,2021-07-17
"199","Moderna",473002,1,2021-07-18
"200","Moderna",347,0,2021-07-19
"201","Moderna",326,0,2021-07-20
"202","Moderna",183,0,2021-07-21
"203","Moderna",300,0,2021-07-22
"204","Moderna",180,0,2021-07-23
"205","Moderna",163404,1,2021-07-24
"206","Moderna",1,0,2021-07-25
"207","Moderna",112326,1,2021-07-26
"208","Moderna",343484,1,2021-07-27
"209","Moderna",135,0,2021-07-28
"210","Moderna",144,0,2021-07-29
"211","Moderna",50091,1,2021-07-30
"212","Moderna",3,0,2021-07-31
"213","Moderna",75,0,2021-08-01
"214","Moderna",32633,1,2021-08-02
"215","Moderna",629311,1,2021-08-03
"216","Moderna",119,0,2021-08-04
"217","Moderna",339,0,2021-08-05
"218","Moderna",50103,1,2021-08-06
"219","Moderna",2,0,2021-08-07
"220","Moderna",474705,1,2021-08-08
"221","Moderna",3917,1,2021-08-09
"222","Moderna",82,0,2021-08-10
"223","Moderna",19,0,2021-08-11
"224","Moderna",139923,1,2021-08-12
"225","Moderna",600942,1,2021-08-13
"226","Moderna",5,0,2021-08-14
"227","Moderna",16,0,2021-08-16
"228","Moderna",526002,1,2021-08-17
"229","Moderna",44,0,2021-08-18
"230","Moderna",3,0,2021-08-19
"231","Moderna",29,0,2021-08-20
"232","Moderna",1,0,2021-08-22
"233","Moderna",36,0,2021-08-23
"234","Moderna",1399074,1,2021-08-24
"235","Moderna",111,0,2021-08-25
"236","Moderna",16,0,2021-08-26
"237","Moderna",42,0,2021-08-27
"238","Moderna",1,0,2021-08-29
"239","Moderna",26,0,2021-08-30
"240","Moderna",13,0,2021-08-31
"241","Moderna",57,0,2021-09-01
"242","Moderna",48,0,2021-09-02
"243","Moderna",41,0,2021-09-03
"244","Moderna",169,0,2021-09-04
"245","Moderna",2,0,2021-09-05
"246","Moderna",40,0,2021-09-06
"247","Moderna",1663116,1,2021-09-07
"248","Moderna",46,0,2021-09-08
"249","Moderna",39,0,2021-09-09
"250","Moderna",62,0,2021-09-10
"251","Moderna",2,0,2021-09-12
"252","Moderna",26,0,2021-09-13
"253","Moderna",40,0,2021-09-14
"254","Moderna",581337,1,2021-09-15
"255","Moderna",5,0,2021-09-17
"256","Moderna",2,0,2021-09-19
"257","Moderna",3,0,2021-09-20
"258","Moderna",14,0,2021-09-21
"259","Moderna",369258,1,2021-09-22
"260","Moderna",2,0,2021-09-23
"261","Moderna",27,0,2021-09-24
"262","Moderna",1,0,2021-09-26
"263","Moderna",5,0,2021-09-27
"264","Moderna",6,0,2021-09-28
"265","Moderna",1133335,1,2021-09-29
"266","Moderna",45,0,2021-09-30
"267","Moderna",2,0,2021-10-01
"268","Moderna",2,0,2021-10-02
"269","Moderna",9,0,2021-10-03
"270","Moderna",5,0,2021-10-04
"271","Moderna",1,0,2021-10-05
"272","Moderna",16,0,2021-10-06
"273","Moderna",8,0,2021-10-07
"274","Moderna",1,0,2021-10-08
"275","Moderna",6,0,2021-10-09
"276","Moderna",440,0,2021-10-12
"277","Moderna",36,0,2021-10-13
"278","Moderna",40,0,2021-10-14
"279","Moderna",5,0,2021-10-15
"280","Moderna",1,0,2021-10-16
"281","Moderna",32,0,2021-10-20
"282","Moderna",7,0,2021-10-21
"283","Moderna",13,0,2021-10-22
"284","Moderna",76,0,2021-10-27
"285","Moderna",36,0,2021-10-28
"286","Moderna",19,0,2021-10-29
"287","Moderna",20,0,2021-11-03
"288","Moderna",27,0,2021-11-09
"289","Moderna",23,0,2021-11-11
"290","Moderna",8,0,2021-11-12
