"","fornitore","numero_dosi","soglia","date"
"121","Pfizer/BioNTech",2227747,1,2021-04-28
"122","Pfizer/BioNTech",5910,1,2021-04-29
"123","Pfizer/BioNTech",174,0,2021-04-30
"124","Pfizer/BioNTech",5,0,2021-05-01
"125","Pfizer/BioNTech",3,0,2021-05-02
"126","Pfizer/BioNTech",10612,1,2021-05-03
"127","Pfizer/BioNTech",3573,1,2021-05-04
"128","Pfizer/BioNTech",2127083,1,2021-05-05
"129","Pfizer/BioNTech",106,0,2021-05-06
"130","Pfizer/BioNTech",10585,1,2021-05-07
"131","Pfizer/BioNTech",25,0,2021-05-08
"132","Pfizer/BioNTech",1,0,2021-05-09
"133","Pfizer/BioNTech",15274,1,2021-05-10
"134","Pfizer/BioNTech",11771,1,2021-05-11
"135","Pfizer/BioNTech",2132975,1,2021-05-12
"136","Pfizer/BioNTech",21379,1,2021-05-13
"137","Pfizer/BioNTech",286,0,2021-05-14
"138","Pfizer/BioNTech",184,0,2021-05-15
"139","Pfizer/BioNTech",10531,1,2021-05-16
"140","Pfizer/BioNTech",505,0,2021-05-17
"141","Pfizer/BioNTech",1726,1,2021-05-18
"142","Pfizer/BioNTech",2102042,1,2021-05-19
"143","Pfizer/BioNTech",40428,1,2021-05-20
"144","Pfizer/BioNTech",794,0,2021-05-21
"145","Pfizer/BioNTech",118,0,2021-05-22
"146","Pfizer/BioNTech",7,0,2021-05-23
"147","Pfizer/BioNTech",895,0,2021-05-24
"148","Pfizer/BioNTech",1140,1,2021-05-25
"149","Pfizer/BioNTech",2077926,1,2021-05-26
"150","Pfizer/BioNTech",62450,1,2021-05-27
"151","Pfizer/BioNTech",32573,1,2021-05-28
"152","Pfizer/BioNTech",83,0,2021-05-29
"153","Pfizer/BioNTech",1,0,2021-05-30
"154","Pfizer/BioNTech",777,0,2021-05-31
"155","Pfizer/BioNTech",3266609,1,2021-06-01
"156","Pfizer/BioNTech",211,0,2021-06-02
"157","Pfizer/BioNTech",158978,1,2021-06-03
"158","Pfizer/BioNTech",1113,1,2021-06-04
"159","Pfizer/BioNTech",128,0,2021-06-05
"160","Pfizer/BioNTech",124,0,2021-06-06
"161","Pfizer/BioNTech",806,0,2021-06-07
"162","Pfizer/BioNTech",896,0,2021-06-08
"163","Pfizer/BioNTech",2895402,1,2021-06-09
"164","Pfizer/BioNTech",5663,1,2021-06-10
"165","Pfizer/BioNTech",977,0,2021-06-11
"166","Pfizer/BioNTech",162,0,2021-06-12
"167","Pfizer/BioNTech",4,0,2021-06-13
"168","Pfizer/BioNTech",14912,1,2021-06-14
"169","Pfizer/BioNTech",51787,1,2021-06-15
"170","Pfizer/BioNTech",2889714,1,2021-06-16
"171","Pfizer/BioNTech",48950,1,2021-06-17
"172","Pfizer/BioNTech",44224,1,2021-06-18
"173","Pfizer/BioNTech",51840,1,2021-06-19
"174","Pfizer/BioNTech",25,0,2021-06-20
"175","Pfizer/BioNTech",1897,1,2021-06-21
"176","Pfizer/BioNTech",16887,1,2021-06-22
"177","Pfizer/BioNTech",3550882,1,2021-06-23
"178","Pfizer/BioNTech",86487,1,2021-06-24
"179","Pfizer/BioNTech",1533,1,2021-06-25
"180","Pfizer/BioNTech",95,0,2021-06-26
"181","Pfizer/BioNTech",19,0,2021-06-27
"182","Pfizer/BioNTech",21735,1,2021-06-28
"183","Pfizer/BioNTech",582,0,2021-06-29
"184","Pfizer/BioNTech",3582302,1,2021-06-30
"185","Pfizer/BioNTech",613,0,2021-07-01
"186","Pfizer/BioNTech",830,0,2021-07-02
"187","Pfizer/BioNTech",97,0,2021-07-03
"188","Pfizer/BioNTech",9,0,2021-07-04
"189","Pfizer/BioNTech",859,0,2021-07-05
"190","Pfizer/BioNTech",5362,1,2021-07-06
"191","Pfizer/BioNTech",2046818,1,2021-07-07
"192","Pfizer/BioNTech",614,0,2021-07-08
"193","Pfizer/BioNTech",472,0,2021-07-09
"194","Pfizer/BioNTech",122,0,2021-07-10
"195","Pfizer/BioNTech",121,0,2021-07-11
"196","Pfizer/BioNTech",52059,1,2021-07-12
"197","Pfizer/BioNTech",650,0,2021-07-13
"198","Pfizer/BioNTech",2060921,1,2021-07-14
"199","Pfizer/BioNTech",513,0,2021-07-15
"200","Pfizer/BioNTech",202,0,2021-07-16
"201","Pfizer/BioNTech",42,0,2021-07-17
"202","Pfizer/BioNTech",251,0,2021-07-18
"203","Pfizer/BioNTech",162931,1,2021-07-19
"204","Pfizer/BioNTech",39909,1,2021-07-20
"205","Pfizer/BioNTech",2042946,1,2021-07-21
"206","Pfizer/BioNTech",142,0,2021-07-22
"207","Pfizer/BioNTech",8440,1,2021-07-23
"208","Pfizer/BioNTech",66706,1,2021-07-24
"209","Pfizer/BioNTech",3514,1,2021-07-25
"210","Pfizer/BioNTech",139,0,2021-07-26
"211","Pfizer/BioNTech",134,0,2021-07-27
"212","Pfizer/BioNTech",2074553,1,2021-07-28
